Drive Homozygote Fitness,Introduction Frequency,Generations to 99% drive-carrying individuals
0.64,0.65,1000
0.64,0.66,1000
0.64,0.67,1000
0.64,0.68,1000
0.64,0.69,1000
0.64,0.7,1000
0.64,0.71,1000
0.64,0.72,1000
0.64,0.73,14.0
0.64,0.74,10.1
0.64,0.75,8.3
0.64,0.76,7.2
0.64,0.77,6.7
0.64,0.78,6.1
0.64,0.79,6.0
0.64,0.8,5.0
0.64,0.81,5.0
0.64,0.82,4.9
0.64,0.83,4.1
0.64,0.84,4.0
0.64,0.85,4.0
0.64,0.86,3.9
0.64,0.87,3.1
0.64,0.88,3.0
0.64,0.89,3.0
0.64,0.9,3.0
0.64,0.91,2.3
0.64,0.92,2.0
0.64,0.93,2.0
0.64,0.94,1.8
0.64,0.95,1.0
0.64,0.96,1.0
0.64,0.97,1.0
0.64,0.98,1.0
0.64,0.99,1.0
0.64,1.0,1.0
0.65,0.6,1000
0.65,0.61,1000
0.65,0.62,1000
0.65,0.63,1000
0.65,0.64,1000
0.65,0.65,1000
0.65,0.66,1000
0.65,0.67,1000
0.65,0.68,1000
0.65,0.69,1000
0.65,0.7,1000
0.65,0.71,1000
0.65,0.72,14.0
0.65,0.73,11.714
0.65,0.74,9.1
0.65,0.75,8.1
0.65,0.76,7.0
0.65,0.77,6.4
0.65,0.78,6.0
0.65,0.79,5.7
0.65,0.8,5.0
0.65,0.81,5.0
0.65,0.82,4.8
0.65,0.83,4.1
0.65,0.84,4.0
0.65,0.85,4.0
0.65,0.86,3.9
0.65,0.87,3.1
0.65,0.88,3.0
0.65,0.89,3.0
0.65,0.9,3.0
0.65,0.91,2.3
0.65,0.92,2.0
0.65,0.93,2.0
0.65,0.94,1.9
0.65,0.95,1.0
0.65,0.96,1.0
0.65,0.97,1.0
0.65,0.98,1.0
0.65,0.99,1.0
0.65,1.0,1.0
0.66,0.6,1000
0.66,0.61,1000
0.66,0.62,1000
0.66,0.63,1000
0.66,0.64,1000
0.66,0.65,1000
0.66,0.66,1000
0.66,0.67,1000
0.66,0.68,1000
0.66,0.69,1000
0.66,0.7,1000
0.66,0.71,1000
0.66,0.72,16.0
0.66,0.73,11.0
0.66,0.74,8.6
0.66,0.75,7.6
0.66,0.76,7.0
0.66,0.77,6.1
0.66,0.78,6.0
0.66,0.79,5.4
0.66,0.8,5.0
0.66,0.81,5.0
0.66,0.82,4.6
0.66,0.83,4.0
0.66,0.84,4.0
0.66,0.85,4.0
0.66,0.86,3.8
0.66,0.87,3.0
0.66,0.88,3.0
0.66,0.89,3.0
0.66,0.9,3.0
0.66,0.91,2.3
0.66,0.92,2.0
0.66,0.93,2.0
0.66,0.94,1.7
0.66,0.95,1.0
0.66,0.96,1.0
0.66,0.97,1.0
