Haploinsufficiency,Embryo Cut Rate,Generations to 99% drive-carrying individuals
0.58,0.98,28
0.58,1,1000
0.56,0,10
0.56,0.02,10
0.56,0.04,10
0.56,0.06,10
0.56,0.08,10
0.56,0.1,10
0.56,0.12,10.1
0.56,0.14,10.1
0.56,0.16,10.4
0.56,0.18,10.8
0.56,0.2,10.8
0.56,0.22,10.9
0.56,0.24,11
0.56,0.26,11
0.56,0.28,11
0.56,0.3,11
0.56,0.32,11
0.56,0.34,11.2
0.56,0.36,11.1
0.56,0.38,11.6
0.56,0.4,11.7
0.56,0.42,11.5
0.56,0.44,12
0.56,0.46,12
0.56,0.48,12
0.56,0.5,12.3
0.56,0.52,12.2
0.56,0.54,12.7
0.56,0.56,12.9
0.56,0.58,13
0.56,0.6,13
0.56,0.62,13
0.56,0.64,13.2
0.56,0.66,13.2
0.56,0.68,13.9
0.56,0.7,14.1
0.56,0.72,14.2
0.56,0.74,14.7
0.56,0.76,14.9
0.56,0.78,15.1
0.56,0.8,15.4
0.56,0.82,15.8
0.56,0.84,16.2
0.56,0.86,16.7
0.56,0.88,17.8
0.56,0.9,18.3
0.56,0.92,18.9
0.56,0.94,19.6
0.56,0.96,20.5
0.56,0.98,26.5
0.56,1,21.2
0.54,0,10
0.54,0.02,10
0.54,0.04,10
0.54,0.06,10
0.54,0.08,10
0.54,0.1,10
0.54,0.12,10.1
0.54,0.14,10.5
0.54,0.16,10.4
0.54,0.18,10.6
0.54,0.2,10.9
0.54,0.22,11
0.54,0.24,11
0.54,0.26,11
0.54,0.28,11
0.54,0.3,11
0.54,0.32,11.1
0.54,0.34,11.1
0.54,0.36,11.4
0.54,0.38,11.7
0.54,0.4,11.6
0.54,0.42,11.8
0.54,0.44,11.7
0.54,0.46,12
0.54,0.48,12
0.54,0.5,12
0.54,0.52,12
0.54,0.54,12.1
0.54,0.56,12.6
0.54,0.58,12.7
0.54,0.6,13
0.54,0.62,12.9
0.54,0.64,13.1
0.54,0.66,13.3
0.54,0.68,13.3
0.54,0.7,13.7
0.54,0.72,13.8
0.54,0.74,13.9
0.54,0.76,13.8
0.54,0.78,14.4
0.54,0.8,14.5
0.54,0.82,15
0.54,0.84,15.5
0.54,0.86,15.7
0.54,0.88,15.8
0.54,0.9,16.3
0.54,0.92,16.1
0.54,0.94,16.6
0.54,0.96,17
0.54,0.98,17.5
0.54,1,18
0.52,0,10
0.52,0.02,10
0.52,0.04,10
0.52,0.06,10
0.52,0.08,10
0.52,0.1,10.2
0.52,0.12,10.3
0.52,0.14,10.2
0.52,0.16,10.7
0.52,0.18,10.8
0.52,0.2,11
0.52,0.22,11
0.52,0.24,11
0.52,0.26,11
0.52,0.28,11
0.52,0.3,11
0.52,0.32,11
0.52,0.34,11
0.52,0.36,11.1
0.52,0.38,11.1
0.52,0.4,11.7
0.52,0.42,11.8
0.52,0.44,11.4
0.52,0.46,11.9
0.52,0.48,11.9
0.52,0.5,12
0.52,0.52,12
0.52,0.54,12
0.52,0.56,12.2
0.52,0.58,12.4
0.52,0.6,12.6
0.52,0.62,12.5
0.52,0.64,12.9
0.52,0.66,12.9
0.52,0.68,13
